cell	t	lasR	LasR	lasI	LasI	AI1	LasRAI1
1	12.6501176024613	1	5	1	2	5	5
6	12.7325982565817	1	3	1	0	13	7
8	12.8176609541115	1	1	1	3	14	5
9	12.9195749650535	1	5	1	2	13	4
9	12.9216394091782	1	5	1	2	14	4
3	12.9243328958109	1	2	1	1	11	7
8	12.9308017674193	1	1	1	3	13	5
4	12.962926851149	1	3	1	1	11	6
2	13.001476252015	1	5	1	1	19	4
0	13.0458132750646	1	4	1	1	9	7
6	13.0917182616249	1	3	1	0	12	7
7	13.1520110345737	1	2	1	2	12	5
5	13.2185835889832	1	6	1	4	11	4
1	13.4516904852644	1	5	1	2	6	5
7	13.4598387240258	1	2	1	2	13	5
3	13.4684000278648	1	2	1	1	12	7
0	13.4867078049865	1	4	1	1	8	7
2	13.5176744165656	1	5	1	1	18	4
6	13.5549120793876	1	2	1	0	11	8
9	13.5924319925543	1	5	1	2	15	4
8	13.6358995514747	1	1	1	4	13	5
5	13.7004504578945	1	6	1	4	12	4
4	13.7660436111328	1	2	1	1	10	7
1	13.8903441431758	1	5	1	2	7	5
1	13.8916719663248	1	5	1	2	7	4
3	13.8951245607168	1	2	1	1	13	7
4	13.9025862017006	1	2	1	1	11	7
7	13.9113866859407	1	2	1	2	14	5
3	13.9225542578206	1	2	1	1	14	7
5	13.9383049640164	1	5	1	4	11	5
0	13.9633592716709	1	5	1	1	9	6
2	14.0052202916995	1	5	1	1	17	4
6	14.0924530676857	1	2	1	0	10	8
9	14.1890301383392	1	5	1	2	14	4
8	14.3185128844634	1	1	1	4	14	5
5	14.3199877980223	1	4	1	4	11	5
9	14.3352489731333	1	5	1	2	13	4
8	14.3669572620711	1	1	1	4	13	5
3	14.4008838421723	1	2	1	1	15	7
1	14.4461315385124	1	5	1	2	8	4
4	14.5020957700035	1	2	1	1	12	7
6	14.5598830132803	1	2	1	0	10	7
2	14.6194901390991	1	4	1	1	17	4
0	14.6831550746283	1	5	1	1	10	6
7	14.7491529508552	1	2	1	2	15	5
8	14.7497414904938	1	1	1	4	14	5
7	14.7583021732571	1	2	1	2	16	5
3	14.7658661651949	1	2	1	0	15	7
6	14.8087044331769	1	2	1	0	11	7
9	14.8799507591466	1	5	1	2	14	4
1	14.9521360072831	1	4	1	2	7	5
4	15.0260515261034	1	2	1	2	12	7
0	15.1141516018251	1	5	1	1	11	6
2	15.2194354582171	1	4	1	1	18	4
5	15.4968520748953	1	4	1	4	10	5
2	15.5054557185213	1	4	1	1	19	4
9	15.5344387489895	1	5	1	2	15	4
5	15.5549868803064	1	4	1	4	10	4
7	15.5789113372157	1	2	1	2	17	5
0	15.6062002677063	1	5	1	1	12	6
6	15.6511735554377	1	2	1	0	12	7
3	15.7472829754988	1	3	1	0	16	6
8	15.85541977096	1	1	1	4	13	5
1	16.0117910664121	1	4	1	2	8	5
4	16.1901300262252	1	2	1	2	11	7
3	16.1931906118116	1	3	1	0	15	6
0	16.1965888479317	1	6	1	1	12	6
7	16.2121547606366	1	1	1	2	17	5
8	16.2252910115349	1	1	1	4	14	5
9	16.2517865296977	1	6	1	2	16	3
2	16.2885795642214	1	3	1	1	18	5
5	16.3283627551573	1	4	1	4	11	4
6	16.4065269303101	1	2	1	0	11	7
4	16.584092132427	1	2	1	2	10	7
1	16.7918859493511	1	5	1	2	9	4
3	16.7933622584096	1	3	1	0	15	5
0	16.8044697711593	1	6	1	1	11	6
9	16.8158946460462	1	6	1	2	17	3
7	16.829707670433	1	2	1	2	18	4
8	16.8540291613317	1	2	1	4	14	5
4	16.8786959568388	1	2	1	2	9	7
5	16.9036692841328	1	4	1	4	11	3
2	16.9399503259338	1	3	1	1	19	5
6	17.0003654150642	1	2	1	0	12	7
1	17.2271026758826	1	5	1	2	8	4
6	17.2271187014485	1	2	1	0	11	7
7	17.2282543819674	1	3	1	2	19	3
2	17.2416261773833	1	2	1	1	18	6
1	17.2551676932999	1	5	1	2	9	4
5	17.2721380595394	1	4	1	4	10	3
8	17.2932684518673	1	2	1	4	13	5
9	17.3260249518135	1	6	1	2	18	3
3	17.4132055737355	1	3	1	0	16	5
0	17.517300444124	1	6	1	1	12	6
4	17.7055230312326	1	2	1	2	9	6
2	17.7093585425682	1	1	1	1	18	6
9	17.7149643733792	1	6	1	2	19	3
3	17.7233372445844	1	3	1	0	17	5
4	17.7416752263598	1	2	1	2	10	6
7	17.7601270865343	1	3	1	2	20	3
5	17.7810462418638	1	4	1	4	11	3
6	17.8090501635961	1	2	1	0	12	7
0	17.8484431527249	1	6	1	1	13	6
1	17.8891429736905	1	5	1	2	10	4
8	18.004758818417	1	2	1	4	12	5
5	18.0405451877668	1	4	1	4	12	3
1	18.0745926349118	1	4	1	2	10	4
2	18.1134599967554	1	1	1	1	19	6
9	18.1565842776254	1	6	1	2	19	2
6	18.2000544926777	1	2	1	0	13	7
8	18.2511877528086	1	1	1	4	11	6
7	18.3130904621139	1	3	1	2	21	3
0	18.407328706111	1	6	1	1	14	6
4	18.5792940816536	1	2	1	2	11	6
3	18.7829816749945	1	4	1	0	18	4
7	18.7845472921545	1	3	1	2	22	3
1	18.7931930352861	1	3	1	2	10	4
3	18.804162199136	1	4	1	0	19	4
4	18.8151947888473	1	2	1	2	12	6
9	18.8285853345806	1	6	1	2	18	2
6	18.8500751000756	1	2	1	0	14	7
8	18.8737235595399	1	1	1	4	10	6
7	18.9066294659788	1	3	1	2	23	3
2	18.944140710395	1	1	1	1	20	6
0	18.9876247574502	1	6	1	1	13	6
5	19.0738031347209	1	4	1	4	11	3
4	19.0743299742389	1	2	1	2	13	6
6	19.0773704673557	1	1	1	0	13	8
3	19.0878311709894	1	4	1	0	20	4
2	19.1038551886959	1	1	1	1	19	6
0	19.1236268950088	1	5	1	1	13	6
7	19.1441813649071	1	3	1	2	22	3
8	19.1769265660478	1	1	1	4	9	6
5	19.2319920041991	1	4	1	4	12	3
1	19.3161426687075	1	3	1	2	11	4
9	19.4390454569293	1	6	1	2	17	2
7	19.4423194515912	1	3	1	2	23	3
0	19.4472682455016	1	5	1	1	14	6
1	19.473127524594	1	4	1	2	11	4
9	19.4940246355181	1	6	1	2	16	2
8	19.5227087282037	1	0	1	4	9	6
2	19.5570827454721	1	1	1	1	20	6
3	19.5969547026252	1	4	1	0	21	4
4	19.6411406614279	1	1	1	2	13	6
5	19.7105204753971	1	4	1	4	13	3
6	19.8521878563261	1	1	1	0	14	8
0	19.8641376129162	1	5	1	1	15	6
2	19.87708444491	1	1	1	1	21	6
7	19.8908659449589	1	3	1	2	24	3
1	19.9084487917644	1	4	1	2	10	4
9	19.934596632309	1	6	1	2	15	2
6	19.9650102208179	1	1	1	0	14	7
4	19.9989042269808	1	0	1	2	12	7
8	20.0393396119398	1	0	1	4	10	6
3	20.0802752139789	1	4	1	0	22	4
5	20.1718579741937	1	3	1	4	13	3
7	20.1800374038794	1	3	1	2	25	3
6	20.1870451568902	1	1	1	0	13	7
5	20.2039570640118	1	3	1	4	14	3
8	20.222679406339	1	0	1	4	9	6
2	20.2491099442632	1	1	1	1	22	6
0	20.2837087008447	1	5	1	2	15	6
3	20.3485434892864	1	3	1	0	21	5
1	20.4288649875016	1	4	1	2	9	4
4	20.5104214939565	1	0	1	2	13	7
9	20.6181176844329	1	6	1	2	16	2
7	20.6210475464541	1	3	1	2	26	3
2	20.6263777057829	1	1	1	1	23	6
3	20.6340369692261	1	3	1	0	20	5
1	20.6510663217123	1	4	1	2	10	4
4	20.6827239094491	1	0	1	2	14	7
9	20.7285760602172	1	5	1	2	15	3
8	20.7757148219462	1	0	1	4	10	6
0	20.856740377676	1	5	1	2	16	6
6	20.9622617585774	1	1	1	0	14	7
5	21.0894648058529	1	3	1	4	15	3
7	21.1098666836697	1	3	1	2	27	3
0	21.1328819313276	1	5	1	2	17	6
2	21.1611574025083	1	1	1	1	22	6
8	21.1924456575143	1	0	1	4	11	6
4	21.224488876127	1	0	1	2	15	7
9	21.2665583894777	1	4	1	2	14	4
6	21.3239043870199	1	1	1	0	15	7
3	21.3835919306803	1	3	1	0	21	5
5	21.4604633928466	1	3	1	4	14	3
1	21.8781266690421	1	4	1	2	11	4
3	21.8807169971478	1	3	1	0	22	5
